"","Horizontal","Vertical","Species","Treatment"
"1",23.5322195704057,25.0716332378223,"Active","Control"
"2",22.673031026253,42.3209169054441,"SW","Control"
"3",24.8210023866348,37.9083094555874,"Grass","Control"
"4",19.8743718592965,25.0290697674419,"Active","Warmed"
"5",25.6030150753769,29.9127906976744,"SW","Warmed"
"6",24.6231155778895,38.0523255813954,"Grass","Warmed"
